mol_id,label,num_nodes,num_edges,csv_row,file_path
0,345.15,13,13,0,graph_npz/batch_0/0.npz
1,358.15,19,20,1,graph_npz/batch_0/1.npz
2,344.15,19,20,2,graph_npz/batch_0/2.npz
3,473.15,20,21,3,graph_npz/batch_0/3.npz
4,473.15,20,21,4,graph_npz/batch_0/4.npz
5,473.15,23,25,5,graph_npz/batch_0/5.npz
6,523.15,26,27,6,graph_npz/batch_0/6.npz
7,473.15,20,21,7,graph_npz/batch_0/7.npz
8,473.15,20,21,8,graph_npz/batch_0/8.npz
9,473.15,20,21,9,graph_npz/batch_0/9.npz
10,409.15,58,63,10,graph_npz/batch_0/10.npz
11,473.15,8,7,11,graph_npz/batch_0/11.npz
12,453.15,10,9,12,graph_npz/batch_0/12.npz
13,433.15,12,11,13,graph_npz/batch_0/13.npz
14,433.15,8,7,14,graph_npz/batch_0/14.npz
15,383.15,12,11,15,graph_npz/batch_0/15.npz
16,333.15,16,15,16,graph_npz/batch_0/16.npz
17,523.15,9,8,17,graph_npz/batch_0/17.npz
18,348.15,9,8,18,graph_npz/batch_0/18.npz
19,473.15,14,13,19,graph_npz/batch_0/19.npz
20,473.15,14,13,20,graph_npz/batch_0/20.npz
21,473.15,13,12,21,graph_npz/batch_0/21.npz
22,268.15,15,15,22,graph_npz/batch_0/22.npz
23,473.15,12,12,23,graph_npz/batch_0/23.npz
24,473.15,16,16,24,graph_npz/batch_0/24.npz
25,463.15,9,8,25,graph_npz/batch_0/25.npz
26,423.15,11,10,26,graph_npz/batch_0/26.npz
27,363.15,13,12,27,graph_npz/batch_0/27.npz
28,488.15,11,11,28,graph_npz/batch_0/28.npz
29,473.15,8,7,29,graph_npz/batch_0/29.npz
30,313.15,17,16,30,graph_npz/batch_0/30.npz
31,383.15,17,17,31,graph_npz/batch_0/31.npz
32,443.15,14,13,32,graph_npz/batch_0/32.npz
33,423.15,16,15,33,graph_npz/batch_0/33.npz
34,345.55,32,34,34,graph_npz/batch_0/34.npz
35,293.15,25,26,35,graph_npz/batch_0/35.npz
36,309.15,28,29,36,graph_npz/batch_0/36.npz
37,315.15,32,33,37,graph_npz/batch_0/37.npz
38,473.15,16,16,38,graph_npz/batch_0/38.npz
39,383.15,18,18,39,graph_npz/batch_0/39.npz
40,693.15,34,38,40,graph_npz/batch_0/40.npz
41,403.15,14,14,41,graph_npz/batch_0/41.npz
42,443.15,15,15,42,graph_npz/batch_0/42.npz
43,453.15,14,14,43,graph_npz/batch_0/43.npz
44,463.15,14,14,44,graph_npz/batch_0/44.npz
45,269.15,4,3,45,graph_npz/batch_0/45.npz
46,200.15,30,31,46,graph_npz/batch_0/46.npz
47,522.15,38,42,47,graph_npz/batch_0/47.npz
48,505.15,20,20,48,graph_npz/batch_0/48.npz
49,456.15,29,31,49,graph_npz/batch_0/49.npz
50,449.15,30,32,50,graph_npz/batch_0/50.npz
51,440.15,31,33,51,graph_npz/batch_0/51.npz
52,483.15,24,26,52,graph_npz/batch_0/52.npz
53,277.15,8,7,53,graph_npz/batch_0/53.npz
54,393.65,18,19,54,graph_npz/batch_0/54.npz
55,256.15,10,9,55,graph_npz/batch_0/55.npz
56,270.15,15,14,56,graph_npz/batch_0/56.npz
57,266.15,18,17,57,graph_npz/batch_0/57.npz
58,364.15,13,13,58,graph_npz/batch_0/58.npz
59,215.15,15,14,59,graph_npz/batch_0/59.npz
60,436.15,36,40,60,graph_npz/batch_0/60.npz
61,338.15,72,77,61,graph_npz/batch_0/61.npz
62,347.15,21,20,62,graph_npz/batch_0/62.npz
63,367.15,17,16,63,graph_npz/batch_0/63.npz
64,408.15,19,19,64,graph_npz/batch_0/64.npz
65,275.45,8,7,65,graph_npz/batch_0/65.npz
66,356.15,11,10,66,graph_npz/batch_0/66.npz
67,480.55,14,16,67,graph_npz/batch_0/67.npz
68,304.15,9,9,68,graph_npz/batch_0/68.npz
69,238.15,9,8,69,graph_npz/batch_0/69.npz
70,293.15,10,9,70,graph_npz/batch_0/70.npz
71,226.15,9,8,71,graph_npz/batch_0/71.npz
72,190.15,13,12,72,graph_npz/batch_0/72.npz
73,220.15,16,15,73,graph_npz/batch_0/73.npz
74,193.15,19,18,74,graph_npz/batch_0/74.npz
75,312.65,12,12,75,graph_npz/batch_0/75.npz
